0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.08	-8.58	-1.16	0.00	0.00	-8.04	-42.88
14.04	-8.55	-1.15	0.00	0.00	-2.34	-12.48
14.00	-8.53	-1.15	0.00	0.00	-0.60	-3.20
0.32	0.30	-3.65	0.51	0.00	0.12	4.80
0.24	0.26	-3.66	0.51	0.00	0.12	2.24
0.17	0.21	-3.66	0.51	0.00	0.12	1.60
0.11	0.16	-3.66	0.51	0.00	0.12	1.60
0.08	0.13	-3.66	0.50	0.00	0.12	1.60
0.06	0.13	-3.65	0.50	0.00	0.12	1.60
0.05	0.17	-3.65	0.50	0.00	0.12	1.60
0.05	0.22	-3.65	0.50	0.00	0.12	1.60
0.07	0.27	-3.66	0.50	0.00	0.12	1.60
0.10	0.30	-3.67	0.50	0.00	0.12	1.60
0.12	0.30	-3.69	0.50	0.00	0.12	1.60
0.15	0.27	-3.70	0.50	0.00	0.12	1.60
0.18	0.20	-3.71	0.50	0.00	0.12	1.60
0.21	0.13	-3.70	0.50	0.00	0.12	1.60
0.25	0.08	-3.68	0.50	0.00	0.12	1.60
0.30	0.06	-3.66	0.50	0.00	0.12	1.60
0.36	0.07	-3.65	0.50	0.00	0.12	1.60
0.43	0.10	-3.66	0.50	0.00	0.12	1.60
0.50	0.15	-3.67	0.50	0.00	0.12	1.60
0.54	0.20	-3.70	0.50	0.00	0.12	1.60
0.56	0.24	-3.71	0.50	0.00	0.12	1.60
0.53	0.25	-3.72	0.50	0.00	0.12	1.60
0.48	0.23	-3.72	0.50	0.00	0.12	1.60
0.38	0.20	-3.72	0.50	0.00	0.12	1.60
0.27	0.16	-3.71	0.50	0.00	0.12	1.60
0.13	0.13	-3.70	0.50	0.00	0.12	1.60
-0.02	0.12	-3.69	0.50	0.00	0.12	1.60
-0.19	0.14	-3.67	0.50	0.00	0.12	1.60
-0.35	0.20	-3.66	0.50	0.00	0.12	1.60
-0.52	0.27	-3.65	0.50	0.00	0.12	1.60
-0.69	0.34	-3.65	0.50	0.00	0.12	1.60
-0.84	0.38	-3.65	0.50	0.00	0.12	1.60
-0.97	0.38	-3.65	0.50	0.00	0.12	1.60
-1.07	0.34	-3.65	0.50	0.00	0.12	1.60
-1.12	0.28	-3.65	0.50	0.00	0.12	1.60
-1.12	0.22	-3.64	0.50	0.00	0.12	1.60
-1.07	0.18	-3.63	0.50	0.00	0.12	1.60
-0.96	0.18	-3.62	0.50	0.00	0.12	1.60
-0.81	0.21	-3.62	0.50	0.00	0.12	1.60
-0.63	0.27	-3.63	0.50	0.00	0.12	1.60
-0.44	0.30	-3.64	0.50	0.00	0.12	1.60
-0.24	0.31	-3.66	0.50	0.00	0.12	1.60
-0.04	0.31	-3.69	0.50	0.00	0.12	1.60
0.14	0.28	-3.71	0.50	0.00	0.12	1.60
0.29	0.23	-3.72	0.50	0.00	0.12	1.60
0.42	0.19	-3.73	0.50	0.00	0.12	1.60
0.54	0.16	-3.73	0.50	0.00	0.12	1.60
0.65	0.16	-3.74	0.50	0.00	0.12	1.60
0.75	0.18	-3.75	0.50	0.00	0.12	1.60
0.83	0.21	-3.76	0.50	0.00	0.12	1.60
0.90	0.24	-3.77	0.50	0.00	0.12	1.60
0.93	0.27	-3.78	0.50	0.00	0.12	1.60
0.92	0.28	-3.79	0.50	0.00	0.12	1.60
0.87	0.28	-3.78	0.50	0.00	0.12	1.60
0.79	0.27	-3.77	0.50	0.00	0.12	1.60
0.67	0.26	-3.76	0.50	0.00	0.12	1.60
0.55	0.26	-3.75	0.50	0.00	0.12	1.60
0.41	0.27	-3.74	0.50	0.00	0.12	1.60
